country_text_id,year,v2smgovfilprc_osp,v2smgovfilprc_osp_codelow,v2smgovfilprc_osp_codehigh,v2smgovshut_osp,v2smgovshut_osp_codelow,v2smgovshut_osp_codehigh,v2mecenefi_osp,v2mecenefi_osp_codelow,v2mecenefi_osp_codehigh
PNG,2025,2.956,2.702,3.211,3.518,3.311,3.797,2.94,2.882,3
POL,2025,3.565,3.356,3.789,3.846,3.761,4,2.938,2.886,3
PRK,2025,0.104,0,0.198,0.696,0.235,1.003,0.292,0,0.444
PRT,2025,3.863,3.776,4,3.951,3.896,4,2.981,2.961,3
PRY,2025,3.827,3.726,4,3.922,3.861,4,2.862,2.772,3
PSE,2025,2.065,1.591,2.486,3.791,3.701,3.994,2.087,1.82,2.371
PSG,2025,3.162,2.831,3.479,3.922,3.854,4,2.377,2.142,2.675
QAT,2025,1.034,0.667,1.395,2.631,2.348,2.907,1.756,1.532,1.979
ROU,2025,3.62,3.439,3.941,3.954,3.907,4,2.972,2.939,3
RUS,2025,0.956,0.593,1.375,1.772,1.431,2.166,0.559,0.191,0.815
RWA,2025,1.414,0.956,1.85,3.707,3.574,3.958,1.791,1.424,2.272
SAU,2025,0.249,0,0.405,2.155,1.821,2.595,1.477,1.248,1.715
SDN,2025,0.702,0.356,1.005,0.497,0.088,0.727,0.809,0.462,1.149
SEN,2025,2.263,1.891,2.623,2.789,2.584,3.061,2.033,1.598,2.347
SGP,2025,2.095,1.719,2.551,3.918,3.848,4,2.217,2.058,2.412
SLB,2025,3.667,3.518,3.993,3.851,3.764,4,2.793,2.694,2.999
SLE,2025,3.331,3.094,3.638,3.512,3.274,3.74,2.511,2.319,2.74
SLV,2025,3.619,3.455,3.953,3.968,3.932,4,2.707,2.569,2.947
SML,2025,3.409,3.105,3.854,3.81,3.689,4,2.397,2.142,2.755
SOM,2025,2.481,2.136,2.955,2.885,2.533,3.369,2.582,2.375,2.876
SRB,2025,3.034,2.844,3.221,3.959,3.916,4,2.781,2.672,2.956
SSD,2025,1.377,1.025,1.895,1.024,0.517,1.444,,,
STP,2025,3.774,3.661,3.984,3.896,3.833,4,2.868,2.802,2.998
SUR,2025,2.441,2.054,2.837,3.961,3.917,4,2.942,2.885,3
SVK,2025,3.878,3.798,4,3.961,3.923,4,2.889,2.813,3
SVN,2025,3.878,3.799,4,3.965,3.928,4,2.975,2.949,3
SWE,2025,3.845,3.757,4,3.968,3.932,4,2.976,2.951,3
SWZ,2025,2.675,2.399,3.008,2.167,1.812,2.587,0.764,0.31,1.096
SYC,2025,3.879,3.789,4,3.812,3.718,4,2.947,2.893,3
SYR,2025,1.948,1.653,2.327,3.112,2.683,3.607,1.555,1.074,2.068
TCD,2025,2.003,1.49,2.484,1.812,1.353,2.273,1.899,1.36,2.426
TGO,2025,0.84,0.3,1.207,2.095,1.716,2.534,1.873,1.722,2.066
THA,2025,1.901,1.625,2.195,3.791,3.702,3.996,1.956,1.721,2.226
TJK,2025,0.855,0.549,1.173,1.365,0.883,1.776,0.725,0.405,1.051
TKM,2025,0.296,0.03,0.443,1.208,0.78,1.585,0.163,0,0.265
TLS,2025,3.671,3.519,3.955,3.858,3.784,4,2.356,2.168,2.54
TTO,2025,3.814,3.715,4,3.969,3.936,4,2.97,2.934,3
TUN,2025,3.08,2.822,3.291,3.821,3.729,4,2.747,2.624,2.943
TUR,2025,0.985,0.624,1.302,2.738,2.297,3.288,1.67,1.486,1.869
TWN,2025,3.344,3.081,3.617,3.838,3.757,3.999,2.754,2.625,2.966
TZA,2025,1.208,0.706,1.765,3.103,2.788,3.434,2.527,2.318,2.871
UGA,2025,1.51,1.25,1.836,2.565,2.294,2.861,1.675,1.452,1.958
UKR,2025,2.372,2.109,2.631,3.309,3.072,3.63,2.012,1.775,2.274
URY,2025,3.884,3.8,4,3.963,3.927,4,2.948,2.894,3
USA,2025,3.616,3.438,3.934,3.822,3.744,3.99,2.929,2.874,3
UZB,2025,1.472,1.213,1.764,2.409,2.192,2.655,0.591,0.198,0.833
VEN,2025,0.846,0.485,1.218,2.424,2.01,2.857,1.382,1.177,1.639
VNM,2025,0.476,0.102,0.72,3.796,3.704,3.997,1.383,1.121,1.704
VUT,2025,3.756,3.639,3.998,3.966,3.929,4,2.953,2.904,3
XKX,2025,3.625,3.422,3.866,3.882,3.811,4,2.89,2.81,3
YEM,2025,1.406,1.048,1.736,2.321,1.965,2.644,1.252,0.906,1.542
ZAF,2025,3.302,3.005,3.552,3.898,3.823,4,2.879,2.803,3
ZMB,2025,3.24,2.96,3.558,3.972,3.938,4,2.508,2.365,2.658
ZWE,2025,2.574,2.245,2.852,3.178,2.928,3.408,2.342,2.132,2.647
ZZB,2025,2.006,1.467,2.561,3.096,2.726,3.598,2.569,2.361,2.829
